DRUG,HEADACHE,0CCIPIT,BRAIN,FOREHEAD,,TEMPROL,,VERTEX,MODALITY,VERTIGO1,VOMITING,OTHERORGANS,HEAD POSITION,NOSE,FACE,EAR,ASSOCIATED SYMPTOMS,TEETH,,EYE,,DAY,NIGHT,MIND,STOOL,SENSATION,FEMALE,SCALP,VERTIGO2,TONGUE,,SLEEP,THROAT,HEART,DISEASE,,,SWEAT,STOMACH,EXTERMITIES
BoletusLaricus,,,,feelLightYellowDeepFrontalHeadache,,,,,,,constantaNausea,,,,,,,CoatTongueTeethIndented,,,,,,,,,,,,thickYellowCoatingteethIndented,,,,,,,,,,
Borax,,,,,,,,,,,AcheNauseaTremleWholeBody,,,,,,tiphairTangleCannotSeparateasPlicapolonicavincaMin,,,,,,,,,,,hairTipTangledTipsCanNotBeSeparate,,,,,,,,,,,,
Bovista,distensiveWorseEarlyMorning,asifheadWereEnlargeEspOcciput,DullBruisedPain,,,,,,worseEarlyMorningOpenAirLying,,,scalpBrainOCCnerveSysNose,,dischargeStringyToughMucus,,,StammeringStramMerc,,,,,,,OcciputEnlargeSensation,,OcciputEnlargeSensation,,itchWorsWarmSensitveScratchUntiillSore,,,,,,,,,,,,
Bromium,MegrimLeftSideStoopDrinkMilk,,,,,,,,worseStoopMilkSunheatRapidWalk,DizzyCrossStreemWater,,eye,,,,,,,,SharpPainThroughEye,,,,,,,,,,,,,,,,,,,,
Bryonia,SpiltBurstPressoutHammerWithin,headacheSeatedOcciput,,frontHeadacheInvolveFrontSinusus,,,,,worseMotionOnRise,nauseaFaintConfusionOnRise,nauseaFaintConfuseOnRise,eyeZygomaFHocciput,,,DrawingBonesTowardZygoma,,,,,worseOpeneyeMotionEYEball,,,,,,,,,,,,,,,,,,,,
Bufo,,,numb,painBetterNosebleedFaceflush,,,,senseHotVaporRoseTopHead,,,,vertexFH nose,,epstaxisflushedFacePainFH,bathedSweat,,,,,,,,,,,asifHotVaporTopHead,,,,,,,,,,,,,,
ButyricAcid,dullHeavyAcheHead,,headacheApprehensiveTrifles,,,,,,worseUpstairRapidMotion,,,,,,,,worriesTriflesSuicideImpulseFearNervous,,,,,,,suicideImpulseFearNervousWorryTrifles,,,,,,,,,,,,,,,,
CactusGrandiflorus,congestPeriodicApoplexy,,,,,,,senseAsifWeightVertex,painRetunSameHour,,,vertexRtsideBvesselEyeEarFace,,,RtProspolgiaReturnSameHOURdailyCEDRON,pulsateEar,headacheIFpassDinnerHourBvesselDistend,,,DimSight,,,,,,asifWeightVertexRtSidePulsatePain,,,,,,,,,,,,,,
CadmiumSulph,hemicraniaHeathead,,unconcious,,,,,,,roomBedSpinAroundVertigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cajaputum,,,,,,,,,,,,,,,,,asifHeCouldnotGetTogetherHimselfBAPTISIA,,,,,,,feelMuchEnlarge,,,,,,,,,,,,,,,,
CaladiumSeguinum,headacheWithPainShoulder,,headacheAndMentalStatesSmokers,,,,,,,,,headFHshoulderMindSmokers,,,,extreemlySensitiveNoiseThrobbEar,veryForgetNotKnowAbouOccurenceThings,,,pressureEyesForeheadSensitiveNoiseThrobbEar,,,,,,,,,,,,,,,,,,,,
CalcareaAcetic,WithColdnessSourTaste,,,,,,,,,inOpenair,,tasteSenses,,,,,,,,,,,,sensesObscureWhileReading,,sensesObscureWhileReading,,,,,,,,,,,,,,
